prefix, file, date, name, hoster, city
republic-math, 2014, 27 марта 2014, VI Республиканская студенческая предметная олимпиада по направлению \\ <<Математика>>, Казахский национальный университет имени аль-Фараби, г. Алматы
republic-math, 2015, 26 марта 2015, VII Республиканская студенческая предметная олимпиада по направлению \\ <<Математика>>, Казахский национальный университет имени аль-Фараби, г. Алматы
republic-math, 2016, 01 апреля 2016, VIII Республиканская студенческая предметная олимпиада по направлению \\ <<Математика>>, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
republic-math, 2017, 13 апреля 2017, IX Республиканская студенческая предметная олимпиада по направлению \\ <<Математика>>, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
republic-math, 2018, 03 апреля 2018, X Республиканская студенческая предметная олимпиада по направлению \\ <<Математика>>, Казахстанско-Британский технический университет, г. Алматы
republic-mcm, 2014, 27 марта 2014, VI Республиканская студенческая предметная олимпиада по направлению \\ <<Математическое и компьютерное моделирование>>, Казахский национальный университет имени аль-Фараби, г. Алматы
republic-mcm, 2015, 26 марта 2015, VII Республиканская студенческая предметная олимпиада по направлению \\ <<Математическое и компьютерное моделирование>>, Казахский национальный университет имени аль-Фараби, г. Алматы
republic-mcm, 2016, 01 апреля 2016, VIII Республиканская студенческая предметная олимпиада по направлению \\ <<Математическое и компьютерное моделирование>>, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
republic-mcm, 2017, 14 апреля 2017, IX Республиканская студенческая предметная олимпиада по направлению \\ <<Математическое и компьютерное моделирование>>, Назарбаев Университет, г. Астана
republic-mcm, 2018, 20 апреля 2018, X Республиканская студенческая предметная олимпиада по направлению \\ <<Математическое и компьютерное моделирование>>, Назарбаев Университет, г. Астана

